Dist	TrNo	Zone	X,m	Y,m	Alt, m	TD, ns	Hice, m	Bed,m
24,846307	152	33X	516540,958	8556917,292	316,3	125	10,5	305,8
25,606718	153	33X	516540,272	8556916,973	316,2234	132,5	11,13	305,0934
26,564001	154	33X	516539,418	8556916,554	316,1161	140	11,76	304,3561
27,718158	155	33X	516538,405	8556916,019	315,9758	145	12,18	303,7958
29,072417	156	33X	516537,239	8556915,353	315,8	152,5	12,81	302,99
30,62843	157	33X	516535,925	8556914,547	315,588	160	13,44	302,148
32,376075	158	33X	516534,459	8556913,627	315,3457	167,5	14,07	301,2757
34,29799	159	33X	516532,835	8556912,634	315,0805	182,5	15,33	299,7505
36,383262	160	33X	516531,046	8556911,6	314,8	195	16,38	298,42
38,610757	161	33X	516529,096	8556910,563	314,5104	210	17,64	296,8704
40,929489	162	33X	516527,031	8556909,551	314,2135	222,5	18,69	295,5235
43,279149	163	33X	516524,908	8556908,591	313,9099	237,5	19,95	293,9599
45,598265	164	33X	516522,784	8556907,713	313,6	250	21	292,6
47,845447	165	33X	516520,701	8556906,931	313,2847	265	22,26	291,0247
50,037669	166	33X	516518,65	8556906,226	312,965	277,5	23,31	289,655
52,209067	167	33X	516516,607	8556905,565	312,6422	292,5	24,57	288,0722
54,392522	168	33X	516514,548	8556904,915	312,3174	307,5	25,83	286,4874
56,620347	169	33X	516512,449	8556904,243	311,9921	325	27,3	284,6921
58,924938	170	33X	516510,286	8556903,517	311,6673	340	28,56	283,1073
61,337416	171	33X	516508,037	8556902,706	311,3443	357,5	30,03	281,3143
63,8947	172	33X	516505,676	8556901,777	311,0244	372,5	31,29	279,7344
66,630368	173	33X	516503,182	8556900,698	310,7088	387,5	32,55	278,1588
69,584127	174	33X	516500,529	8556899,437	310,3987	405	34,02	276,3787
72,795171	175	33X	516497,694	8556897,96	310,0953	420	35,28	274,8153
76,303313	176	33X	516494,653	8556896,236	309,8	437,5	36,75	273,05
80,090148	177	33X	516491,423	8556894,28	309,5149	452,5	38,01	271,5049
83,899842	178	33X	516488,18	8556892,299	309,2459	470	39,48	269,7659
87,416171	179	33X	516485,14	8556890,549	309	485	40,74	268,26
90,417357	180	33X	516482,46	8556889,216	308,7813	500	42	266,7813
93,011891	181	33X	516480,068	8556888,231	308,582	517,5	43,47	265,112
95,382544	182	33X	516477,835	8556887,458	308,3918	537,5	45,15	263,2418
97,704574	183	33X	516475,629	8556886,759	308,2	557,5	46,83	261,37
100,11318	184	33X	516473,347	8556886,015	307,9992	577,5	48,51	259,4892
102,6309	185	33X	516470,986	8556885,165	307,794	595	49,98	257,814
105,2548	186	33X	516468,569	8556884,164	307,5917	615	51,66	255,9317
107,98743	187	33X	516466,119	8556882,969	307,4	635	53,34	254,06
110,82876	188	33X	516463,655	8556881,565	307,2249	655	55,02	252,2049
113,72905	189	33X	516461,182	8556880,058	307,0671	675	56,7	250,3671
116,62057	190	33X	516458,699	8556878,583	306,9257	695	58,38	248,5457
119,43729	191	33X	516456,206	8556877,278	306,8	715	60,06	246,74
122,15226	192	33X	516453,704	8556876,23	306,687	735	61,74	244,947
124,80879	193	33X	516451,206	8556875,333	306,5751	755	63,42	243,1551
127,45219	194	33X	516448,724	8556874,432	306,4507	775	65,1	241,3507
130,12775	195	33X	516446,272	8556873,372	306,3	795	66,78	239,52
