Dist	TrNo	X,m	Y,m	Z,m	TD, ns	Hice	Amplitud de la señal	Bed,m
83,2	0	512565,8187	8552172,742	424,231349	20,244318	1,6803	0	422,551049
88,8	0	512563,2897	8552167,8	423,497147	23,136364	1,9203	0	421,576847
92	0	512561,8394	8552164,983	423,057894	31,8125	2,6404	0	420,417494
96	0	512560,0455	8552161,458	422,461856	43,380682	3,6006	0	418,861256
100,8	0	512557,9683	8552157,189	421,771446	46,272728	3,8406	0	417,930846
102,4	0	512557,2253	8552155,789	421,559225	49,164773	4,0807	0	417,478525
108	0	512554,7389	8552150,846	420,697911	63,625001	5,2809	0	415,417011
112,8	0	512552,6437	8552146,594	419,953749	72,301137	6,001	0	413,952749
115,2	0	512551,5741	8552144,48	419,575835	89,65341	7,4412	0	412,134635
120	0	512549,5009	8552140,217	418,822969	95,437501	7,9213	0	410,901669
124	0	512547,7403	8552136,677	418,223074	95,437501	7,9213	0	410,301774
129,6	0	512545,2935	8552131,697	417,468429	98,329547	8,1614	0	409,307029
133,6	0	512543,5963	8552128,112	416,947212	109,897729	9,1215	0	407,825712
136,8	0	512542,252	8552125,234	416,570322	118,573865	9,8416	0	406,728722
140	0	512540,8528	8552122,385	416,168695	121,465911	10,0817	0	406,086995
144	0	512539,0908	8552118,824	415,711307	130,142047	10,8018	0	404,909507
150,4	0	512536,3634	8552113,076	415,020688	147,49432	12,242	0	402,778688
154,4	0	512534,655	8552109,48	414,63347	156,170457	12,9621	0	401,67137
158,4	0	512532,892	8552105,906	414,288022	176,414775	14,6424	0	399,645622
161,6	0	512531,4817	8552103,049	413,997695	184,210224	15,2894	0	398,708295
163,2	0	512530,7904	8552101,614	413,842419	189,374996	15,7181	0	398,124319
166,4	0	512529,4079	8552098,741	413,573762	196,26136	16,2897	0	397,284062
168,8	0	512528,3597	8552096,59	413,388991	204,869314	17,0042	0	396,384791
172	0	512526,9587	8552093,728	413,100059	213,477269	17,7186	0	395,381459
174,4	0	512525,9206	8552091,572	412,91075	216,92045	18,0044	0	394,90635
177,6	0	512524,5266	8552088,702	412,682005	228,971587	19,0046	0	393,677405
180,8	0	512523,1238	8552085,839	412,40261	234,136359	19,4333	0	392,96931
183,2	0	512522,0954	8552083,678	412,224296	239,301132	19,862	0	392,362296
185,6	0	512521,0542	8552081,521	412,118716	246,187495	20,4336	0	391,685116
189,6	0	512519,3196	8552077,933	411,866363	254,79545	21,148	0	390,718363
192,8	0	512517,9132	8552075,068	411,642277	259,960222	21,5767	0	390,065577
196	0	512516,532	8552072,188	411,449678	266,846586	22,1483	0	389,301378
