515005.66 8548815.07, 515158.057 8550260.322, 516609.103 8550227.221, 515898.467 8551997.043, 515701.684 8554089.745, 515714.942 8556337.476, 514497.785 8558413.814, 513418.464 8558057.341, 512172.777 8559795.188, 511291.699 8560841.977, 511017.436 8562351.549, 513206.649 8552899.219, 513516.089 8549363.513, 514278.737 8559859.578, 513575.999 8555493.386, 512811.92 8550930.292, 
515005.8376925162 8548814.83038459, 515158.2688648386 8550260.011912249, 516608.88706044946 8550226.581396518, 515898.33156931994 8551996.324474111, 515701.9258971244 8554089.074778618, 515715.63828230515 8556337.143971816, 514497.8583499724 8558413.074402474, 513418.8847963572 8558056.628302671, 512172.12538037397 8559794.725573348, 511290.98861844745 8560842.264895668, 511016.9609510089 8562352.041659718, 513207.2228169638 8552899.174021333, 513516.3952850551 8549363.893664243, 514279.0024126698 8559859.912330681, 513576.47593793 8555493.51405709, 512812.4274102857 8550930.385029899, 
515006.01541287213 8548814.590789827, 515158.48078859615 8550259.70186476, 516608.67142213613 8550225.941691414, 515898.19774397963 8551995.605647499, 515702.1673793234 8554088.404407626, 515716.3352569949 8556336.813399516, 514497.9323382658 8558412.334868532, 513419.30616008176 8558055.915940637, 512171.47416974016 8559794.262570914, 511290.2773248735 8560842.550530607, 511016.48092010786 8562352.52946652, 513207.79658889264 8552899.128471777, 513516.7012431388 8549364.274591338, 514279.26916179934 8559860.245596029, 513576.9528630805 8555493.642161768, 512812.93487716484 8550930.477750592, 
515006.193161103 8548814.351215743, 515158.6927785427 8550259.391862525, 516608.4561331524 8550225.301868659, 515898.0654750776 8551994.886532864, 515702.4084661983 8554087.733894361, 515717.03289298696 8556336.484225117, 514498.0069725604 8558411.595399506, 513419.72811962455 8558055.203931367, 512170.82336366345 8559793.798999997, 511289.5651979844 8560842.83408159, 511015.9963692279 8562353.012783792, 513208.37031789153 8552899.082384638, 513517.0068811725 8549364.655775273, 514279.537172206 8559860.57784791, 513577.4297752614 8555493.77031472, 512813.4423953646 8550930.570189962, 
515006.3709372655 8548814.111662384, 515158.9048419757 8550259.081910554, 516608.2412395428 8550224.661913004, 515897.93471069477 8551994.167143125, 515702.64917730563 8554087.063246107, 515717.7311571702 8556336.156385379, 514498.082259559 8558410.855996648, 513420.15070079896 8558054.492290862, 512170.1729599361 8559793.334864741, 511288.8523143533 8560843.115724618, 511015.5077244434 8562353.491961645, 513208.94400616974 8552899.035793353, 513517.31220676313 8549365.03720952, 514279.8063718008 8559860.90913701, 513577.9066743586 8555493.898516351, 512813.94995992247 8550930.66237445, 
515006.54874143883 8548813.872129817, 515159.11698621605 8550258.772013886, 516608.0190951016 8550224.024438024, 515897.8053962965 8551993.44749133, 515702.88953207 8554086.392470058, 515718.4300146002 8556335.829812178, 514498.15820510057 8558410.11666114, 513420.57392668666 8558053.781033592, 512169.5229591341 8559792.870165374, 511288.1387483945 8560843.395634405, 511015.0153788876 8562353.967336228, 513209.5176560264 8552898.98873137, 513517.61722818034 8549365.418887049, 514280.0766915961 8559861.239512702, 513578.38356033736 8555494.026766773, 512814.45756618393 8550930.754329024, 
515006.7265737249 8548813.632618118, 515159.3292186034 8550258.462177578, 516607.7973012744 8550223.386840971, 515897.6774751372 8551992.727590574, 515703.12954970356 8554085.721573304, 515719.12942872394 8556335.504432943, 514498.2348142643 8558409.377394103, 513420.9978175252 8558053.070172414, 512168.87336515135 8559792.404897492, 511287.4245723626 8560843.673983937, 511014.5196955301 8562354.439229384, 513210.09126983595 8552898.941232044, 513517.9219543281 8549365.800800359, 514280.34806570684 8559861.569022918, 513578.86043324514 8555494.155065788, 512814.96520979964 8550930.846077155, 
515006.90443424927 8548813.39312739, 515159.54154649196 8550258.15240671, 516607.57587328093 8550222.749116778, 515897.5508886638 8551992.00745393, 515703.3692491313 8554085.050562795, 515719.8293616297 8556335.18017118, 514498.3120914614 8558408.638196597, 513421.4223905808 8558052.35971849, 512168.22418570396 8559791.939051392, 511286.7098563694 8560843.95094407, 511014.02100979217 8562354.90794857, 513210.6648500329 8552898.893328536, 513518.22639471194 8549366.182941502, 514280.62043134525 8559861.897714034, 513579.33729321405 8555494.283412885, 512815.472886722 8550930.93764081, 
515007.0823231617 8548813.153657746, 515159.75397724594 8550257.842706373, 516607.354823704 8550222.111261318, 515897.42557691265 8551991.287094377, 515703.6086489235 8554084.379445326, 515720.5297743178 8556334.856947064, 514498.3900405132 8558407.899069637, 513421.8476600127 8558051.64968119, 512167.5754327991 8559791.472611457, 511285.9946684115 8560844.22668317, 511013.5196319852 8562355.373786993, 513211.2383990966 8552898.845053699, 513518.53055940155 8549366.56530212, 514280.89372881124 8559862.22563077, 513579.8141404625 8555494.411807233, 512815.9805932019 8550931.029040432, 
515007.2602406365 8548812.914209321, 515159.9665182345 8550257.533081677, 516607.1341622693 8550221.473271478, 515897.3014788989 8551990.566524738, 515703.8477672352 8554083.708227513, 515721.23062698747 8556334.53467808, 514498.46866471384 8558407.16001419, 513422.2736367339 8558050.940067993, 512166.9271231639 8559791.005555613, 511285.27907440305 8560844.501366772, 511013.0158495686 8562355.837023884, 513211.8119195356 8552898.796439972, 513518.8344589892 8549366.947873475, 514281.16790147795 8559862.552816097, 513580.2909752965 8555494.54024768, 512816.4883257842 8550931.12029494, 
515007.43818687304 8548812.67478227, 515160.17917682696 8550257.223537743, 516606.91389566206 8550220.835145216, 515897.1785329933 8551989.84575763, 515704.08662175224 8554083.036915783, 515721.9318793328 8556334.213279711, 514498.5479668772 8558406.421031183, 513422.7003282776 8558050.23088439, 512166.279278631 8559790.537854848, 511284.56313820754 8560844.775157258, 511012.50992922555 8562356.2979249, 513212.38541387225 8552898.747519279, 513519.1381045444 8549367.330646485, 514281.4428957739 8559862.879311161, 513580.76779811014 8555494.668732746, 512816.99608130386 8550931.211421734, 
515007.6161620965 8548812.435376767, 515160.39196038706 8550256.9140797, 516606.6940273838 8550220.1968816, 515897.05667728535 8551989.124805408, 515704.3252296454 8554082.365516355, 515722.63349084323 8556333.892666157, 514498.62794936774 8558405.6821215, 513423.1277386772 8558049.522133794, 512165.6319264783 8559790.06947281, 511283.84692166303 8560845.04821353, 511012.00211876235 8562356.756742593, 513212.9588846268 8552898.698322916, 513519.44150756556 8549367.713611767, 514281.71866116213 8559863.205155205, 513581.2446093855 8555494.797260622, 512817.5038568807 8550931.302436698, 
