 (515005.6991927378, 8548814.859619562)  (515158.165363513, 8550260.108978055)  (516605.8955377378, 8550221.823034937)  (515897.1774131717, 8551993.363439318)  (515704.1409668471, 8554089.463854285)  (515716.9764592078, 8556338.31586709)  (514498.6644338673, 8558412.69147068)  (513418.385579691, 8558056.258837694)  (512171.8113277882, 8559794.850351987)  (511292.1521052764, 8560841.872498285)  (511017.0215911641, 8562351.967552645)  (513206.68204894825, 8552899.166542713)  (513516.5062282155, 8549364.05248551)  (514278.57530179736, 8559860.079580193)  (513576.3708223737, 8555493.759466361)  (512812.6946298016, 8550930.069323843) 
 (515005.7342955451, 8548814.670855707)  (515158.32828508964, 8550259.78795382)  (516601.8884523301, 8550215.189350702)  (515895.55476180144, 8551988.579120502)  (515707.1073494803, 8554089.201065257)  (515719.0421837969, 8556339.18211297)  (514499.5814689685, 8558411.532362998)  (513418.3669928031, 8558055.098986614)  (512170.83486957476, 8559794.510226484)  (511292.63351697905, 8560841.761688663)  (511016.6289229362, 8562352.364006504)  (513206.7140346969, 8552899.11577942)  (513516.91060494195, 8549364.57409788)  (514278.41823096183, 8559860.564790202)  (513576.7330216517, 8555494.118509093)  (512813.4437106889, 8550929.8518892) 
 (515005.8940242769, 8548813.810558239)  (515158.965928652, 8550258.527009854)  (516597.8510313951, 8550208.415265657)  (515894.050422641, 8551983.80869414)  (515710.511665634, 8554088.98763488)  (515721.3495798725, 8556340.157278776)  (514500.8607518502, 8558409.930509288)  (513418.4431221949, 8558053.52582759)  (512169.0633871883, 8559793.895836417)  (511293.7153515821, 8560841.513225604)  (511016.54798398074, 8562352.445700357)  (513206.7460231329, 8552899.065017821)  (513517.3155434677, 8549365.095274232)  (514278.26063692756, 8559861.049830532)  (513577.0975581199, 8555494.475178637)  (512814.1923197923, 8550929.632835759) 
 (515005.95494345203, 8548813.480126923)  (515159.24553340866, 8550257.965805631)  (516595.6011181532, 8550204.427141862)  (515893.34974015824, 8551981.343331477)  (515712.4870756343, 8554088.90836111)  (515723.5473406618, 8556341.08617248)  (514502.05226728105, 8558408.463406367)  (513418.62967811903, 8558052.188779766)  (512167.24758650316, 8559793.271923063)  (511294.7974760954, 8560841.266028238)  (511016.50575365574, 8562352.488321943)  (513206.7780141424, 8552899.014257845)  (513517.7210169386, 8549365.616034508)  (514278.1025639404, 8559861.534714982)  (513577.4644680616, 8555494.829406098)  (512815.67722105456, 8550929.195374629) 
 (515006.04036626284, 8548813.015566815)  (515159.4113738958, 8550257.630584909)  (516594.1290976882, 8550201.831489392)  (515892.8862373325, 8551979.612311797)  (515713.8104703, 8554088.86832914)  (515724.95082217926, 8556341.67500491)  (514502.8900547671, 8558407.445940826)  (513418.883382715, 8558051.019998359)  (512166.0128091603, 8559792.852708424)  (511295.5581131543, 8560841.093310941)  (511016.4635226581, 8562352.530942863)  (513206.84520042676, 8552898.907665147)  (513518.00520329754, 8549365.980290068)  (514277.99191822147, 8559861.8730839)  (513577.7063323605, 8555495.059748584)  (512816.6069275273, 8550928.918705378) 
 (515006.1254881337, 8548812.550951472)  (515159.5417259113, 8550257.365946755)  (516592.5566288518, 8550199.078992024)  (515892.4082331557, 8551977.751733122)  (515715.3749891821, 8554088.829526206)  (515726.2950313254, 8556342.234502696)  (514503.59955562605, 8558406.592296561)  (513419.1935257287, 8558049.922997305)  (512164.9891067699, 8559792.50856686)  (511296.2018749614, 8560840.947809272)  (511016.4212909933, 8562352.573563121)  (513206.92519607925, 8552898.78077663)  (513518.2453004939, 8549366.287622683)  (514277.8985126142, 8559862.158172294)  (513577.9026911248, 8555495.245067865)  (512817.2680344126, 8550928.721125808) 
 (515006.2103131657, 8548812.086281843)  (515159.6924171716, 8550257.058935119)  (516590.47659520875, 8550195.721022394)  (515891.80136494606, 8551975.28838581)  (515717.24963494693, 8554088.793080952)  (515727.8945126282, 8556342.924592227)  (514504.35598156316, 8558405.689244071)  (513419.49061317346, 8558048.963958697)  (512163.8192735136, 8559792.11897842)  (511296.8457683655, 8560840.802891074)  (511016.37905866676, 8562352.616182724)  (513207.00040382333, 8552898.661508882)  (513518.49110403255, 8549366.601918118)  (514277.79749407875, 8559862.466021698)  (513578.15884400636, 8555495.485040158)  (512817.97787618655, 8550928.50850959) 
 (515006.2948437963, 8548811.621558568)  (515159.89178258716, 8550256.651051028)  (516587.9904744592, 8550191.753614219)  (515891.1397248868, 8551972.471034495)  (515719.51740117057, 8554088.760517862)  (515729.6418321984, 8556343.66572536)  (514505.242513087, 8558404.639511792)  (513419.80457148544, 8558048.075817842)  (512162.51978455624, 8559791.691482864)  (511297.51322060294, 8560840.65334673)  (511016.3368256839, 8562352.658801677)  (513207.0644185258, 8552898.560009534)  (513518.75001614285, 8549366.932621187)  (514277.6494996307, 8559862.916325644)  (513578.5547063568, 8555495.852317981)  (512818.7594529256, 8550928.274002017) 
 (515006.3790808114, 8548811.15678198)  (515160.12781576475, 8550256.165367654)  (516584.8773959128, 8550186.836181762)  (515890.4565847509, 8551968.647583757)  (515722.0792777314, 8554088.73536857)  (515731.79164314584, 8556344.558976103)  (514506.50770855177, 8558403.15567203)  (513420.21019818704, 8558047.042586513)  (512161.1498278942, 8559791.247840278)  (511298.2745312928, 8560840.483623328)  (511016.29459205, 8562352.701419985)  (513207.12843908387, 8552898.458513878)  (513519.009101271, 8549367.263188723)  (514277.5087333352, 8559863.343742127)  (513578.9533228349, 8555496.216604823)  (512819.678861489, 8550927.997799385) 
 (515006.4630233645, 8548810.691952122)  (515160.32120786316, 8550255.764587793)  (516581.60706559394, 8550181.702322725)  (515889.8248092973, 8551964.850787636)  (515724.73322534305, 8554088.718692997)  (515733.8859694909, 8556345.40566268)  (514507.59459702467, 8558401.898326633)  (513420.6729323007, 8558045.981058775)  (512159.7087843691, 8559790.79008755)  (511299.1063563562, 8560840.299310919)  (511016.25235777046, 8562352.744037652)  (513207.21914178954, 8552898.314732729)  (513519.2374884624, 8549367.554288862)  (514277.2925438854, 8559863.99899942)  (513579.3546995798, 8555496.577848105)  (512820.5982155844, 8550927.721415509) 
 (515006.54666900286, 8548810.227068743)  (515160.4946168752, 8550255.40302132)  (516578.3267799378, 8550176.555835087)  (515889.2494325972, 8551961.086507406)  (515727.1992072103, 8554088.709236229)  (515735.76399532496, 8556346.144136082)  (514508.6829854783, 8558400.654212663)  (513421.1409489876, 8558045.001081029)  (512158.2742384499, 8559790.345023504)  (511299.8740018683, 8560840.130443018)  (511016.1904132212, 8562352.806542635)  (513207.2906427009, 8552898.201403035)  (513519.4758796102, 8549367.857876841)  (514277.15313125873, 8559864.420544341)  (513579.6854914591, 8555496.871004604)  (512821.5242638884, 8550927.442985017) 
 (515006.63001370034, 8548809.762131315)  (515160.692619873, 8550254.987816777)  (516575.003239712, 8550171.33493465)  (515888.74636431783, 8551957.295742536)  (515729.62317262846, 8554088.696288196)  (515736.1594417473, 8556346.29581013)  (514509.69735097873, 8558399.50880329)  (513421.66139768285, 8558043.986816194)  (512156.8526212342, 8559789.915803872)  (511300.7093110959, 8560839.948005373)  (511016.01091085956, 8562352.98766111)  (513207.3146552144, 8552898.163345195)  (513519.68906316726, 8549368.129129069)  (514277.0022349494, 8559864.876209024)  (513580.0241445572, 8555497.167339008)  (512822.48672473786, 8550927.153685668) 
 (515006.7130518961, 8548809.297139049)  (515160.9755724665, 8550254.390440155)  (516570.79289278673, 8550164.73564963)  (515888.24794314976, 8551952.325671978)  (515732.50607678975, 8554088.67278082)  (515738.3363434733, 8556347.126471838)  (514510.9775886065, 8558398.18721651)  (513422.2586463292, 8558042.894424755)  (512155.4034370475, 8559789.491580825)  (511301.5254667439, 8560839.79704194)  (511015.9158742749, 8562353.083541492)  (513207.3440041278, 8552898.116830237)  (513520.0692589644, 8549368.612529686)  (514276.85431447695, 8559865.322325079)  (513580.53118774825, 8555497.605297)  (512823.4635914661, 8550926.86020416) 
 (515006.79577653925, 8548808.832090897)  (515161.43063657766, 8550253.419821458)  (516566.11478846276, 8550157.475270238)  (515888.0681236326, 8551946.81660591)  (515735.80179241445, 8554088.62948508)  (515740.7626706473, 8556348.026849784)  (514512.12939460075, 8558397.005758531)  (513422.9301982307, 8558041.73484809)  (512154.0080203358, 8559789.097484136)  (511302.37137234106, 8560839.641981563)  (511015.8525145165, 8562353.147459729)  (513207.3760214081, 8552898.066086827)  (513520.51470441755, 8549369.178195972)  (514276.67159777344, 8559865.872792704)  (513581.0042552913, 8555498.006055156)  (512824.5124112484, 8550926.545558225) 
 (515006.87817913934, 8548808.366985574)  (515161.74561393826, 8550252.735863665)  (516561.85377552576, 8550151.049706547)  (515888.99395365536, 8551942.655355165)  (515738.4261644312, 8554088.572069772)  (515742.7382872914, 8556348.738846185)  (514513.2428116724, 8558395.870680373)  (513423.63252039836, 8558040.58191983)  (512152.61838239967, 8559788.719983928)  (511303.22738102253, 8560839.486581637)  (511015.78915342194, 8562353.211376641)  (513207.4080388755, 8552898.015343534)  (513520.9605088983, 8549369.74357935)  (514276.4823892253, 8559866.442178449)  (513581.4654714251, 8555498.3898255)  (512825.575598425, 8550926.226602072) 
 (515006.91883669986, 8548808.136544773)  (515161.9375287169, 8550252.313412819)  (516558.99993702915, 8550146.880976545)  (515889.7454484072, 8551939.99443791)  (515740.1742814971, 8554088.51650248)  (515744.3660934241, 8556349.312713062)  (514514.2206757734, 8558394.88000091)  (513424.2969668151, 8558039.534966651)  (512151.4802779092, 8559788.423851915)  (511303.95374450204, 8560839.35604392)  (511015.6948138271, 8562353.306539875)  (513207.47687655565, 8552897.906245533)  (513521.3638794421, 8549370.254552152)  (514276.35835161776, 8559866.815090867)  (513581.7340826311, 8555498.609500306)  (512826.5334247102, 8550925.939254187) 
 (515006.9441522063, 8548807.9927563)  (515162.1810016591, 8550251.772700394)  (516556.1280397881, 8550142.85171976)  (515890.5451746715, 8551937.437588502)  (515742.0227994055, 8554088.44246504)  (515745.96382766095, 8556349.866541835)  (514515.1463879989, 8558393.947449101)  (513424.9035438828, 8558038.607751325)  (512150.2288985326, 8559788.11056346)  (511304.9362763373, 8560839.1810148)  (511015.6201847041, 8562353.381815992)  (513207.54304545996, 8552897.801375728)  (513521.6577460892, 8549370.62646396)  (514276.2295198846, 8559867.202216666)  (513582.00298174465, 8555498.827236997)  (512827.4366548972, 8550925.668285131) 
 (515006.96112272004, 8548807.896236863)  (515162.31434683286, 8550251.4730288)  (516553.89945568267, 8550139.768891694)  (515891.1878028678, 8551935.518316504)  (515743.3491204053, 8554088.37570723)  (515747.3266400153, 8556350.331668148)  (514515.84221888124, 8558393.250280267)  (513425.3232853374, 8558037.980182912)  (512149.08612405095, 8559787.837266034)  (511305.2760546058, 8560839.121217407)  (511015.5603391737, 8562353.442177508)  (513207.587868335, 8552897.730334122)  (513521.90644755284, 8549370.941024896)  (514276.1015829728, 8559867.586478487)  (513582.2370374807, 8555499.014901359)  (512828.1733684349, 8550925.444336113) 
 (515006.98240367294, 8548807.775091821)  (515162.4449116614, 8550251.177593824)  (516551.1744984255, 8550136.02322327)  (515892.0051331793, 8551933.158871619)  (515744.9373858863, 8554088.282466885)  (515748.704177344, 8556350.75118085)  (514516.6279621206, 8558392.466247384)  (513425.74706762325, 8558037.325348144)  (512147.9189739191, 8559787.55841021)  (511305.83749892033, 8560839.022828985)  (511015.51809447526, 8562353.484784849)  (513207.68391461787, 8552897.578100381)  (513522.12978482654, 8549371.223373018)  (514275.9973025692, 8559867.899568886)  (513582.47186840256, 8555499.201594792)  (512829.0051762164, 8550925.189393345) 
